Genre,Age,Annual Income (k$),Spending Score (1-100),cluster
1,19,15,39,-1.0
1,21,15,81,1.0
0,20,16,6,-1.0
0,23,16,77,2.0
0,31,17,40,2.0
0,22,17,76,2.0
0,35,18,6,-1.0
0,23,18,94,2.0
1,64,19,3,3.0
0,30,19,72,2.0
1,67,19,14,3.0
0,35,19,99,-1.0
0,58,20,15,2.0
0,24,20,77,2.0
1,37,20,13,-1.0
1,22,20,79,1.0
0,35,21,35,2.0
1,20,21,66,1.0
1,52,23,29,-1.0
0,35,23,98,-1.0
1,35,24,35,-1.0
1,25,24,73,1.0
0,46,25,5,2.0
1,31,25,73,1.0
0,54,28,14,2.0
1,29,28,82,1.0
0,45,28,32,2.0
1,35,28,61,1.0
0,40,29,31,2.0
0,23,29,87,2.0
1,60,30,4,3.0
0,21,30,73,2.0
1,53,33,4,3.0
1,18,33,92,1.0
0,49,33,14,2.0
0,21,33,81,2.0
0,42,34,17,2.0
0,30,34,73,2.0
0,36,37,26,2.0
0,20,37,75,2.0
0,65,38,35,2.0
1,24,38,92,1.0
1,48,39,36,1.0
0,31,39,61,2.0
0,49,39,28,2.0
0,24,39,65,2.0
0,50,40,55,2.0
0,27,40,47,2.0
0,29,40,42,2.0
0,31,40,42,2.0
0,49,42,52,2.0
1,33,42,60,1.0
0,31,43,54,2.0
1,59,43,60,1.0
0,50,43,45,2.0
1,47,43,41,1.0
0,51,44,50,2.0
1,69,44,46,1.0
0,27,46,51,2.0
1,53,46,46,1.0
1,70,46,56,1.0
1,19,46,55,4.0
0,67,47,52,2.0
0,54,47,59,2.0
1,63,48,51,1.0
1,18,48,59,4.0
0,43,48,50,2.0
0,68,48,48,2.0
1,19,48,59,4.0
0,32,48,47,2.0
1,70,49,55,1.0
0,47,49,42,2.0
0,60,50,49,2.0
0,60,50,56,2.0
1,59,54,47,1.0
1,26,54,54,4.0
0,45,54,53,2.0
1,40,54,48,1.0
0,23,54,52,2.0
0,49,54,42,2.0
1,57,54,51,1.0
1,38,54,55,1.0
1,67,54,41,1.0
0,46,54,44,2.0
0,21,54,57,2.0
1,48,54,46,1.0
0,55,57,58,2.0
0,22,57,55,2.0
0,34,58,60,2.0
0,50,58,46,2.0
0,68,59,55,2.0
1,18,59,41,4.0
1,48,60,49,1.0
0,40,60,40,2.0
0,32,60,42,2.0
1,24,60,52,4.0
0,47,60,47,2.0
0,27,60,50,2.0
1,48,61,42,1.0
1,20,61,49,4.0
0,23,62,41,2.0
0,49,62,48,2.0
1,67,62,59,1.0
1,26,62,55,4.0
1,49,62,56,1.0
0,21,62,42,2.0
0,66,63,50,2.0
1,54,63,46,1.0
1,68,63,43,1.0
1,66,63,48,1.0
1,65,63,52,1.0
0,19,63,54,2.0
0,38,64,42,2.0
1,19,64,46,4.0
0,18,65,48,2.0
0,19,65,50,2.0
0,63,65,43,2.0
0,49,65,59,2.0
0,51,67,43,2.0
0,50,67,57,2.0
1,27,67,56,4.0
0,38,67,40,2.0
0,40,69,58,2.0
1,39,69,91,5.0
0,23,70,29,2.0
0,31,70,77,2.0
1,43,71,35,1.0
1,40,71,95,5.0
1,59,71,11,9.0
1,38,71,75,5.0
1,47,71,9,1.0
1,39,71,75,5.0
0,25,72,34,2.0
0,31,72,71,2.0
1,20,73,5,6.0
0,29,73,88,2.0
0,44,73,7,7.0
1,32,73,73,5.0
1,19,74,10,6.0
0,35,74,72,2.0
0,57,75,5,7.0
1,32,75,93,5.0
0,28,76,40,2.0
0,32,76,87,2.0
1,25,77,12,6.0
1,28,77,97,5.0
1,48,77,36,1.0
0,32,77,74,2.0
0,34,78,22,8.0
1,34,78,90,5.0
1,43,78,17,1.0
1,39,78,88,5.0
0,44,78,20,7.0
0,38,78,76,2.0
0,47,78,16,7.0
0,27,78,89,2.0
1,37,78,1,1.0
0,30,78,78,2.0
1,34,78,1,1.0
0,30,78,73,2.0
0,56,79,35,2.0
0,29,79,83,2.0
1,19,81,5,6.0
0,31,81,93,2.0
1,50,85,26,1.0
0,36,85,75,2.0
1,42,86,20,1.0
0,33,86,95,2.0
0,36,87,27,8.0
1,32,87,63,5.0
1,40,87,13,1.0
1,28,87,75,5.0
1,36,87,10,1.0
1,36,87,92,5.0
0,52,88,13,7.0
0,30,88,86,2.0
1,58,88,15,9.0
1,27,88,69,5.0
1,59,93,14,9.0
1,35,93,90,5.0
0,37,97,32,8.0
0,32,97,86,2.0
1,46,98,15,1.0
0,29,98,88,2.0
0,41,99,39,8.0
1,30,99,97,5.0
0,54,101,24,7.0
1,28,101,68,5.0
0,41,103,17,8.0
0,36,103,85,2.0
0,34,103,23,8.0
0,32,103,69,2.0
1,33,113,8,-1.0
0,38,113,91,2.0
0,47,120,16,-1.0
0,35,120,79,2.0
0,45,126,28,-1.0
1,32,126,74,-1.0
1,32,137,18,-1.0
1,30,137,83,-1.0
